x,y,z
111,-47,2527
199,-111,2567
287,-175,2575
335,-239,2623
415,-287,2575
495,-383,2679
567,-447,2703
663,-511,2727
743,-583,2775
831,-647,2727
863,-727,2775
919,-791,2743
983,-839,2799
1023,-863,2807
1047,-831,2815
1047,-807,2815
1079,-807,2823
1031,-783,2807
1007,-775,2799
975,-743,2807
871,-655,2775
847,-615,2703
255,423,2487
167,439,2559
151,487,2615
135,463,2703
111,439,2743
95,383,2831
111,327,2919
87,271,3054
79,207,3166
71,79,3286
39,-31,3366
47,-167,3502
55,-311,3566
103,-455,3662
95,-559,3750
95,-615,3838
31,-671,3934
-31,-647,4006
-119,-583,4110
-271,-511,4278
-543,-447,4430
-799,-423,4614
-1207,-407,4806
-1599,-415,4990
-2127,-479,5222
-2727,-527,5414
-3438,-783,5598
-4094,-1327,5622
-4854,-2087,5486
-5686,-3198,4958
-7101,-4614,3926
-6861,-5462,1335
-9108,-6245,1663
-8013,-6205,447
-6149,-5470,271
-4598,-4486,671
-2974,-3710,1207
-1719,-3046,1655
-807,-2759,1839
-111,-2455,1639
303,-2239,1223
119,-2047,743
-495,-2047,279
-1055,-2119,0
-1719,-2031,-255
-2359,-1999,-415
-2663,-2111,-567
-2815,-2175,-647
-2911,-2239,-647
-2871,-2279,-599
-2950,-2247,-511
-3054,-2191,-511
-3078,-2103,-623
-3046,-2087,-711
-2966,-2015,-839
-2807,-1783,-903
-2647,-1487,-1007
-2447,-1231,-1015
-2255,-967,-1023
-2111,-719,-1047
-1967,-527,-1087
-1847,-399,-1095
-1791,-231,-1103
-1767,-87,-1135
-1703,0,-1127
-1703,79,-1111
-1647,183,-1127
-1639,255,-1111
-1607,287,-1127
-1543,335,-1103
-1479,383,-1055
-1423,431,-951
-1335,455,-895
-1215,479,-807
-1143,519,-767
-1095,575,-671
-1007,599,-655
-935,687,-567
-879,743,-535
-799,823,-567
-719,863,-535
-591,1007,-479
-527,1047,-487
-479,1071,-487
-423,1103,-479
-399,1111,-423
-375,1103,-383
-375,1103,-383
-383,1063,-367
-383,1023,-391
-351,967,-351
-391,927,-311
-399,919,-279
-431,871,-303
-463,863,-255
-439,823,-279
-479,823,-279
-487,815,-247
-503,791,-199
-479,791,-183
-487,767,-167
-479,743,-167
-519,759,-167
-559,703,-175
-559,727,-175
-567,711,-143
-599,751,-159
-591,767,-127
-615,791,-143
-591,799,-143
-623,815,-119
-631,815,-143
-687,815,-175
-735,791,-175
-743,815,-175
-791,807,-79
-783,783,-103
-815,807,-79
-863,767,-55
-903,751,-79
-983,735,-55
-1031,735,-39
-1079,727,-39
-1143,687,-31
-1159,695,-47
-1239,727,-31
-1303,687,-55
-1383,679,-103
-1471,687,-103
-1527,711,-127
-1599,695,-175
-1727,663,-191
-1847,639,-215
-1983,639,-263
-2127,607,-247
-2239,607,-239
-2367,567,-255
-2535,575,-279
-2703,559,-319
-2823,535,-383
-2950,511,-439
-3062,487,-567
-3126,487,-631
-3230,447,-711
-3286,455,-767
-3398,479,-807
-3446,455,-839
-3582,423,-887
-3662,399,-967
-3766,343,-959
-3886,287,-1007
-4030,287,-1031
-4166,303,-1127
-4262,311,-1151
-4318,359,-1255
-4342,415,-1311
-4390,391,-1287
-4494,383,-1287
-4526,343,-1279
-4614,279,-1287
-4710,151,-1183
-4726,7,-1119
-4838,-103,-1063
-4854,-255,-1015
-4878,-415,-943
-4910,-519,-815
-4934,-647,-711
-4926,-767,-559
-4886,-855,-423
-4830,-911,-279
-4782,-1007,-127
-4670,-1055,71
-4606,-1127,239
-4510,-1167,431
-4350,-1223,567
-4238,-1271,775
-4054,-1247,967
-3894,-1247,1127
-3702,-1215,1311
-3542,-1143,1503
-3398,-1127,1703
-3238,-1127,1871
-3046,-1095,2079
-2815,-1087,2151
-2583,-1063,2215
-2335,-1047,2263
-2143,-1015,2287
-1959,-991,2303
-1767,-983,2303
-1535,-943,2287
-1391,-911,2271
-1263,-839,2207
-1151,-767,2151
-1031,-695,2023
-919,-623,1967
-815,-567,1863
-767,-487,1839
-663,-447,1759
-591,-383,1687
-599,-303,1663
-527,-239,1623
-511,-199,1559
-511,-135,1535
-471,-119,1511
-471,-31,1503
-487,0,1487
-447,47,1503
-447,71,1511
-439,103,1503
-463,143,1551
-463,151,1567
-455,167,1623
-431,191,1655
-447,175,1639
-423,191,1687
-431,215,1735
-447,199,1791
-455,191,1799
-447,191,1831
-455,207,1871
-503,175,1967
-495,159,2015
-543,175,2063
-503,159,2151
-527,111,2183
-487,103,2255
-455,79,2295
-415,95,2391
-383,7,2471
-327,-15,2551
-255,-119,2591
-135,-223,2727
-31,-279,2775
63,-423,2831
175,-503,2871
311,-623,2958
391,-743,2927
503,-815,3006
599,-919,3014
655,-1055,3038
751,-1151,3014
807,-1271,3070
951,-1311,3030
919,-1407,3094
1071,-1519,3198
1143,-1495,3158
1231,-1559,3198
1287,-1551,3134
1223,-1503,3038
1111,-1455,3038
927,-1335,2950
823,-1231,2903
735,-1143,2775
631,-1039,2759
495,-903,2679
423,-799,2639
351,-735,2575
263,-663,2487
191,-543,2399
167,-543,2351
143,-479,2295
119,-487,2239
71,-439,2151
87,-447,2119
63,-463,2047
63,-479,2023
55,-503,2007
31,-503,1935
31,-519,1927
23,-511,1919
23,-511,1927
23,-519,1927
31,-511,1887
31,-527,1935
55,-503,1943
-87,-631,2623
-287,-591,2799
-527,-567,3006
-783,-575,3198
-1159,-503,3374
-1543,-439,3542
-2007,-319,3742
-2527,-279,3902
-3094,-279,4094
-3638,-367,4310
-4430,-439,4318
-5246,-495,3990
-6381,-1223,3438
-7093,-2303,2647
-7397,-3390,1583
-7101,-4438,431
-6629,-5022,127
-6437,-5398,-703
-5462,-5366,-535
-4710,-4606,-63
-3974,-3966,551
-2934,-3598,1095
-1599,-3214,1559
-527,-2927,1647
103,-2623,1431
511,-2311,1159
431,-2111,855
-71,-2023,631
-439,-1951,367
-1015,-1879,151
-1623,-1895,-103
-2167,-1591,-255
-2455,-1623,-367
-2463,-1719,-431
-2479,-1695,-423
-2399,-1663,-383
-2503,-1631,-327
-2559,-1575,-263
-2607,-1559,-295
-2647,-1527,-359
-2623,-1463,-447
-2559,-1383,-551
-2447,-1327,-623
-2303,-1175,-711
-2135,-1015,-671
-1967,-871,-679
-1799,-743,-655
-1639,-567,-639
-1543,-463,-607
-1463,-383,-551
-1415,-311,-519
-1447,-231,-511
-1415,-175,-511
-1439,-127,-511
-1439,-71,-551
-1415,0,-559
-1423,39,-559
-1407,119,-535
-1383,159,-511
-1407,215,-511
-1423,255,-543
-1423,295,-535
-1423,335,-527
-1439,367,-567
-1415,423,-591
-1383,423,-551
-1367,423,-559
-1303,439,-535
-1279,455,-527
