x,y,z
-1535,-295,-31
-1519,-287,-55
-1519,-287,-63
-1535,-319,-119
-1543,-343,-111
-1535,-359,-135
-1543,-375,-175
-1551,-415,-207
-1559,-415,-215
-1583,-423,-239
-1599,-479,-255
-1623,-511,-239
-1679,-567,-223
-1719,-567,-159
-1775,-607,-111
-1783,-623,-79
-1791,-575,-47
-1791,-551,-47
-1775,-527,-87
-1775,-527,-103
-1727,-511,-127
-1735,-519,-127
-1719,-511,-95
-1727,-527,-135
-1751,-519,-95
-1727,-511,-95
-1751,-495,-103
-1743,-487,-63
-1695,-463,-23
-1663,-415,-39
-1615,-423,-71
-1583,-391,-31
-1567,-375,-55
-1503,-343,0
-1471,-327,-7
-1471,-343,0
-1439,-327,23
-1439,-327,55
-1375,-327,79
-1367,-327,111
-1343,-319,95
-1335,-327,167
-1303,-303,223
-1279,-311,255
-1279,-303,255
-1263,-255,319
-1239,-239,375
-1215,-231,399
-1223,-215,399
-1207,-167,447
-1207,-159,455
-1175,-135,431
-1159,-151,503
-1159,-127,495
-1183,-103,495
-1143,-87,519
-1159,-103,527
-1159,-87,487
-1183,-87,511
-1191,-79,527
-1223,-55,535
-1223,-71,503
-1247,-63,511
-1231,-63,535
-1263,-63,511
-1271,-55,519
-1255,-79,511
-1295,-55,511
-1279,-63,487
-1287,-31,511
-1303,-63,471
-1303,-31,479
-1279,-39,479
-1303,-47,471
-1311,-23,479
-1311,-47,487
-1279,-23,479
-1295,-23,463
-1295,-31,463
-1295,-39,479
-1287,-47,479
-1271,-7,495
-1271,-15,471
-1255,-31,447
-1239,-47,487
-1031,-55,447
-1231,-63,479
-1207,-103,455
-1183,-111,487
-1175,-103,423
-1159,-119,431
-1135,-111,463
-1167,-127,447
-1143,-127,431
-1119,-159,471
-1111,-143,439
-1103,-143,407
-1119,-135,431
-1095,-151,463
-1079,-143,447
-1039,-135,455
-1023,-127,463
-1039,-135,463
-1023,-127,455
-1007,-135,495
-999,-111,479
-959,-143,471
-959,-127,455
-951,-111,471
-919,-135,471
-927,-95,511
-887,-127,471
-855,-119,511
-855,-127,471
-807,-95,543
-791,-119,511
-775,-87,543
-759,-95,511
-743,-79,583
-727,-87,527
-719,-95,543
-687,-111,551
-671,-79,567
-647,-79,575
-631,-103,559
-631,-103,575
-615,-87,567
-615,-79,615
-591,-87,575
-575,-103,575
-559,-95,591
-543,-95,615
-551,-55,647
-559,-55,607
-543,-79,591
-527,-63,599
-511,-63,607
-487,-47,615
-519,-47,631
-511,-47,591
-519,-23,591
-519,-23,607
-543,-39,639
-543,-23,591
-567,0,583
-607,0,591
-647,0,631
-703,-23,647
-767,-63,703
-783,-95,743
-815,-143,767
-807,-127,775
-823,-119,863
-863,-135,839
-863,-111,839
-895,-95,855
-871,-95,839
-879,-79,799
-887,-55,791
-887,-31,767
-895,0,719
-943,0,703
-975,0,671
-951,39,623
-951,47,567
-967,31,535
-1007,47,527
-1015,31,447
-1055,31,415
-1071,31,439
-1087,23,415
-1135,0,407
-1151,0,375
-1159,-31,351
-1199,-23,375
-1183,-55,407
-1199,-63,351
-1183,-103,383
-1159,-103,439
-1183,-127,383
-1191,-151,415
-1215,-127,439
-1223,-143,415
-1207,-175,407
-1215,-167,407
-1247,-191,391
-1239,-183,447
-1247,-215,455
-1263,-215,399
-1255,-231,431
-1279,-231,415
-1279,-255,399
-1279,-511,263
-1247,-527,263
-1231,-535,263
-1207,-527,239
-1175,-543,215
-1175,-543,263
-1183,-535,263
-1127,-559,255
-1119,-551,255
-1111,-511,247
-1095,-511,255
-1063,-527,247
-1071,-503,239
-1087,-495,223
-1071,-511,223
-1063,-503,231
-1047,-503,255
-1047,-455,239
-1063,-479,223
-1039,-455,231
-1047,-431,271
-1063,-415,463
-1063,-415,231
-1071,-391,231
-1071,-391,263
-1071,-391,239
-1111,-391,239
-1087,-375,199
-1071,-367,239
-1103,-399,255
-1087,-367,247
-1127,-375,207
-1111,-367,247
-1119,-383,207
-1079,-383,159
-1135,-375,215
-1135,-391,159
-1103,-399,159
-1127,-399,151
-1135,-391,159
-1159,-415,159
-1151,-415,95
-1159,-407,119
-1167,-431,87
-1135,-463,103
-1135,-431,95
-1135,-431,63
-1135,-431,111
-1119,-447,71
-1127,-479,71
-1111,-479,63
-1135,-447,47
-1127,-439,71
-1143,-463,47
-1143,-463,71
-1143,-463,31
-1151,-447,71
-1111,-471,31
-1143,-463,7
-1159,-447,39
-1151,-479,47
-1143,-455,63
-1167,-455,39
-1151,-471,23
-1167,-471,39
-1175,-471,31
-1183,-511,47
-1199,-495,7
-1183,-479,31
-1199,-511,47
-1231,-511,23
-1279,-567,71
-1287,-583,71
-1327,-631,95
-1375,-615,167
-1391,-631,199
-1447,-647,207
-1455,-631,255
-1463,-623,279
-1487,-647,311
-1519,-599,319
-1551,-567,319
-1543,-559,287
-1575,-567,279
-1695,-551,255
-1591,-567,247
-1647,-567,183
-1607,-551,199
-1599,-511,-47
-1575,-543,23
-1591,-511,15
-1551,-511,55
-1535,-551,-23
-1527,-511,-47
-1495,-495,-15
-1511,-479,-31
-1471,-463,-15
-1463,-439,0
-1487,-455,0
-1487,-407,87
-1447,-383,103
-1455,-319,143
-1447,-295,191
-1439,-271,239
-1439,-231,271
-1399,-207,367
-1383,-151,383
-1399,-71,479
-1375,-55,519
-1279,47,631
-1335,127,687
-1279,159,743
-1287,199,767
-1279,239,759
-1239,255,783
-1231,215,791
-1191,287,775
-1199,279,775
-1183,255,791
-1167,247,751
-1127,207,743
-1159,175,711
-1151,183,695
-1159,143,687
-1183,127,655
-1183,71,639
-1183,71,607
-1191,39,591
-1175,23,599
-1175,23,607
-1199,0,623
-1191,7,559
-1183,0,559
-1183,0,535
-1207,15,527
-1159,0,559
-1175,0,551
-1167,0,559
-1159,-15,559
-1151,0,527
-1143,0,535
-1135,-15,527
-1143,0,567
-1143,-23,559
-1143,0,535
-1127,-15,559
-1135,-7,535
-1143,-15,519
-1135,-39,503
-1127,-47,519
-1151,-63,495
-1127,-55,503
-1151,-71,535
-1135,-119,503
-1143,-79,495
-1143,-79,503
-1143,-63,511
-1135,-71,503
-1127,-39,495
-1127,-39,527
-1111,-47,503
-1103,-39,519
-1119,0,511
-1079,0,551
-1087,23,519
-1071,63,511
-1103,71,511
-1071,87,575
-1087,143,575
-1071,95,567
-1087,103,551
-1079,151,575
-1047,159,535
-1039,183,527
-1039,191,543
-1023,215,535
-999,215,567
-1015,231,543
-975,239,567
-983,231,559
-975,215,575
-967,215,575
-959,215,599
-959,207,599
-935,231,591
-951,223,583
-943,223,575
-927,223,607
-951,223,607
-975,183,623
-983,167,655
-1023,167,671
-1055,103,671
-1119,79,735
-1143,31,767
-1151,0,767
-1175,0,815
-1175,7,799
-1143,-31,823
-1127,-15,799
-1103,-23,767
-1103,-47,767
-1047,-23,751
-1047,-23,727
-1023,-47,727
-1031,-31,695
-1023,-7,727
-999,-55,695
-983,-39,639
-999,-31,663
-999,-23,671
-983,-39,607
-999,-39,607
-999,-71,567
-1007,-63,583
-983,-95,575
-1007,-143,551
-1023,-167,583
-991,-159,575
-991,-175,647
-1007,-223,591
-991,-247,615
-1007,-263,647
-983,-271,647
-1007,-319,655
-975,-335,647
-967,-335,631
-967,-351,615
-1007,-423,639
-991,-447,615
-1023,-471,567
-1007,-503,543
-1023,-551,559
-1007,-543,527
-1023,-591,495
-1071,-671,351
-1031,-655,479
-1039,-695,415
-1031,-735,407
-1023,-743,415
-999,-775,375
-991,-783,319
-951,-807,295
-911,-847,303
-879,-855,279
-863,-839,255
-807,-871,255
-799,-863,271
-759,-895,255
-743,-887,255
-719,-895,231
-671,-863,199
-679,-831,223
-631,-815,247
-639,-775,223
-623,-759,239
-639,-711,263
-615,-695,255
-615,-679,255
-607,-639,247
-591,-591,263
-575,-591,239
-615,-559,287
-599,-543,247
-615,-543,247
-615,-511,271
-607,-503,239
-623,-495,263
-631,-495,263
-631,-487,239
-663,-503,247
-639,-471,247
-647,-455,255
-655,-479,231
-655,-463,247
-679,-423,279
-687,-447,247
-703,-439,263
-711,-455,247
-663,-423,255
-679,-431,287
-687,-407,295
-695,-399,303
-687,-375,351
-727,-383,327
-735,-391,295
-735,-407,335
-743,-343,311
-775,-327,319
-791,-319,327
-799,-311,359
-815,-351,399
-1159,-455,423
-1151,-447,383
-1199,-479,351
-1215,-455,391
-1215,-511,359
-1231,-487,375
-1255,-503,351
-1287,-511,327
-1303,-511,343
-1343,-543,287
-1359,-527,287
-1391,-575,287
-1487,-607,343
-1511,-647,311
-1551,-671,303
-1607,-695,359
-1663,-711,367
-1727,-703,367
-1791,-679,367
-1799,-647,383
-1831,-591,367
-1879,-567,359
-1903,-551,295
-1871,-511,223
-1903,-511,151
-1959,-487,103
-1975,-495,-15
-2039,-471,-31
-2031,-447,-119
-2047,-431,-215
-2063,-431,-287
-2039,-423,-359
-2007,-423,-431
-1975,-431,-487
-1951,-455,-487
-1879,-415,-535
