x,y,z
687,-751,383
615,-711,351
591,-767,375
535,-535,399
527,-447,423
471,-319,511
479,-231,511
415,-71,543
375,71,591
319,247,583
295,423,607
167,567,591
87,687,559
0,783,495
-55,919,479
-143,1023,447
-191,1119,383
-215,1247,335
-223,1359,255
-199,1367,247
-159,1455,215
-127,1407,215
-87,1415,223
-79,1447,215
-135,1471,183
55,1223,-79
95,1095,-103
119,1055,-103
143,991,-95
151,935,-95
175,863,-103
183,767,-87
223,679,-39
223,639,0
279,583,0
279,543,31
359,535,55
399,527,87
439,543,159
511,535,111
511,551,159
543,551,79
551,591,135
671,639,103
607,695,167
631,759,175
639,807,159
671,919,183
639,975,175
663,1055,143
655,1103,55
719,1199,71
823,1303,23
975,1415,15
1151,1535,-31
1407,1687,-39
1711,1791,-31
2031,1903,-47
2303,2063,0
2599,2207,31
2903,2343,87
3238,2463,151
3518,2527,191
3758,2543,223
3934,2447,255
3974,2303,199
3958,2063,135
3822,1695,15
3662,1471,-15
3486,1207,-95
3158,1023,-143
2903,815,-207
2703,695,-191
2479,551,-239
2311,431,-223
2111,335,-303
1919,231,-327
1735,199,-327
1559,159,-367
1367,151,-399
1223,159,-431
1031,159,-495
879,191,-567
735,207,-639
575,183,-751
455,239,-807
327,239,-927
255,191,-1039
175,167,-1135
119,135,-1255
63,111,-1327
47,39,-1447
63,0,-1487
119,-31,-1567
143,-7,-1631
279,-71,-1607
391,-79,-1607
527,-87,-1663
655,-119,-1623
759,-127,-1623
871,-143,-1623
895,-191,-1615
943,-191,-1655
959,-199,-1655
967,-223,-1615
951,-183,-1615
935,-231,-1567
919,-199,-1575
903,-199,-1559
887,-167,-1527
911,-159,-1439
903,-127,-1423
935,-111,-1319
951,-47,-1255
991,-47,-1207
999,-7,-1111
1023,15,-1079
1015,15,-991
1063,63,-903
1055,103,-583
1103,143,-767
1095,215,-759
1095,263,-767
1103,303,-735
1127,375,-767
1143,431,-791
1167,463,-807
1231,535,-807
1231,583,-863
1255,623,-879
1279,687,-967
1295,727,-1007
1375,759,-1039
1439,807,-1119
1495,911,-1135
1559,1015,-1223
1695,1143,-1271
1775,1287,-1327
1839,1423,-1343
1879,1567,-1319
1879,1599,-1255
1887,1535,-1143
1863,1463,-1055
1831,1359,-983
1791,1295,-927
1823,1223,-927
1783,1239,-839
1791,1327,-767
1783,1431,-663
1799,1567,-543
1759,1663,-447
1679,1791,-303
1631,1871,-207
1551,2007,-39
1407,2055,143
1255,2007,271
1055,1895,375
879,1671,463
655,1455,511
471,1159,543
327,991,575
191,823,599
79,647,607
15,535,695
0,383,735
-39,295,791
0,199,895
0,39,871
-23,63,927
-95,0,927
-111,23,951
-127,-127,951
-183,-127,999
-271,-111,959
-327,-79,943
-383,-15,1015
-415,23,975
-439,95,1015
-479,135,919
-511,223,983
-519,279,887
-511,375,903
-519,439,871
-455,495,799
-479,527,831
-415,583,823
-359,631,831
-327,679,799
-231,727,767
-223,719,767
-135,719,735
-103,727,711
-47,735,703
-31,695,663
0,735,655
0,719,639
-23,679,607
0,639,583
-39,591,655
-47,559,591
-23,503,607
-39,455,575
-47,383,527
-39,351,527
-55,279,471
-95,271,447
-95,271,439
-47,263,391
0,255,287
103,271,135
311,335,0
623,479,-239
1015,671,-383
1479,815,-511
1935,1223,-551
2287,1535,-607
2655,1895,-527
2919,2167,-519
3198,2367,-567
3406,2551,-575
3502,2655,-615
3462,2639,-703
3278,2535,-847
3030,2375,-943
2711,2223,-1087
2383,1975,-1279
2079,1783,-1391
1775,1567,-1527
1607,1375,-1583
1359,1223,-1671
1215,1023,-1703
1111,855,-1711
1015,703,-1687
991,559,-1751
959,511,-1711
991,431,-1727
1023,415,-1735
1031,439,-1719
1047,447,-1727
1087,407,-1791
1111,471,-1831
1135,471,-1887
1119,479,-1919
1111,495,-1991
1087,495,-2007
1031,527,-2023
1071,495,-2047
1047,479,-2063
983,463,-2047
959,471,-2063
967,471,-2031
927,455,-1991
927,431,-1967
903,383,-1887
871,351,-1839
815,311,-1823
815,271,-1775
783,199,-1743
775,199,-1703
759,175,-1591
751,199,-1527
719,183,-1471
751,191,-1391
735,207,-1335
695,199,-1279
695,191,-1215
671,183,-1151
607,191,-1055
567,151,-1055
559,175,-967
567,175,-927
583,207,-879
623,223,-791
687,255,-767
743,295,-695
775,319,-639
815,343,-551
831,343,-511
815,359,-495
847,351,-471
879,375,-431
847,351,-471
847,359,-511
791,295,-623
703,255,-727
647,255,-879
583,231,-1015
599,271,-1143
655,351,-1279
711,487,-1383
783,647,-1503
903,799,-1631
1079,927,-1719
1255,1143,-1815
1375,1303,-1863
1519,1551,-1839
1663,1791,-1839
1711,2015,-1767
1823,2271,-1663
1855,2383,-1583
1855,2487,-1447
1847,2447,-1351
1815,2415,-1279
1775,2351,-1143
1791,2255,-1039
1783,2143,-911
1767,2047,-799
1783,1959,-655
1791,1807,-511
1759,1647,-383
1759,1487,-231
1663,1311,-127
1615,1111,-15
1535,903,31
1487,727,135
1431,607,239
1335,535,343
1183,455,471
1103,359,591
951,231,607
799,159,671
655,127,711
471,103,711
383,151,727
279,135,711
-23,287,775
-31,287,791
-47,263,775
-15,271,783
0,295,791
0,303,823
0,343,839
-23,351,847
0,383,847
-31,407,839
-63,399,799
-95,495,815
-119,535,807
-159,575,799
-191,679,751
-207,719,711
-223,767,719
-247,783,615
-239,847,599
-239,879,575
